,canonicalUrl,push_tag,commentId,commentContent,commentTime
0,https://www.ptt.cc/bbs/Beauty/M.1583510781.A.BD5.html,→,hmt17,(本文已被刪除) [ashin68],114.25.216.28 03/07 00:25
1,https://www.ptt.cc/bbs/Beauty/M.1583510781.A.BD5.html,→,HunsKing,打1922,111.82.80.197 03/07 00:49
2,https://www.ptt.cc/bbs/Beauty/M.1583510781.A.BD5.html,噓,louis5265,可能觀落陰吧,180.204.139.249 03/07 01:16
3,https://www.ptt.cc/bbs/Beauty/M.1583510781.A.BD5.html,推,chan7015,我來幫她量體溫,114.137.180.38 03/07 02:36
0,https://www.ptt.cc/bbs/Beauty/M.1583510849.A.54B.html,推,gelephant,越南奧黛服裝就推,223.136.12.167 03/07 00:20
1,https://www.ptt.cc/bbs/Beauty/M.1583510849.A.54B.html,→,hmt17,(本文已被刪除) [ashin68],114.25.216.28 03/07 00:25
2,https://www.ptt.cc/bbs/Beauty/M.1583510849.A.54B.html,→,F1060113,推,61.228.160.90 03/07 01:43
0,https://www.ptt.cc/bbs/Beauty/M.1583510909.A.A61.html,推,chewthelife8,正 求門,42.73.160.193 03/07 00:09
1,https://www.ptt.cc/bbs/Beauty/M.1583510909.A.A61.html,→,hmt17,(本文已被刪除) [ashin68],114.25.216.28 03/07 00:25
2,https://www.ptt.cc/bbs/Beauty/M.1583510909.A.A61.html,推,ihave3cm,覺得可以,118.150.129.23 03/07 00:31
3,https://www.ptt.cc/bbs/Beauty/M.1583510909.A.A61.html,推,fuliza,來,49.216.191.90 03/07 00:37
4,https://www.ptt.cc/bbs/Beauty/M.1583510909.A.A61.html,推,F1060113,推,61.228.160.90 03/07 01:43
5,https://www.ptt.cc/bbs/Beauty/M.1583510909.A.A61.html,→,seishin,門可能還沒求到，這篇就被刪了…,39.9.202.194 03/07 07:28
0,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,→,eeee111,zzzzzzzzzzzzzzzz,223.137.240.210 03/07 00:48
1,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,噓,az61007,ttb我要幹死你,111.71.64.53 03/07 01:01
2,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,→,eunhailoveu,二樓保重,123.192.124.199 03/07 01:17
3,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,alohac,新一代誠實豆沙包上線啦,110.50.188.125 03/07 01:24
4,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,william12tw,不錯,203.203.39.172 03/07 01:27
5,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,az61007,她是ttb的女友，這句是當年西斯板名言，,111.71.64.53 03/07 01:27
6,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,→,az61007,如果檢舉雞這麼無知我也沒辦法,111.71.64.53 03/07 01:27
7,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,Julian9x9x9,同校學姐推葛,39.9.104.23 03/07 01:33
8,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,推,wenhuanorman,推，真的正,36.229.243.127 03/07 01:34
9,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,→,ozjucka,素顏是不同人,114.44.135.182 03/07 02:09
10,https://www.ptt.cc/bbs/Beauty/M.1583512320.A.77D.html,→,hbkrvdwwe,ttb改邪歸正了嗎?,36.228.137.14 03/07 02:20
